299.1	 5.2040 299.04	4.3980	299.03	4.4240	
249.9	 4.4350 250.20	3.9750	249.99	4.0030	
200.0	 3.5710 200.04	3.3250	199.95	3.3540	
150.1	 2.6910 150.08	2.5340	150.07	2.5570	
100.2	 1.8070 100.26	1.7140	100.28	1.7290	
49.94	 0.9143 50.56	0.8789	50.11	0.8783	
0.00 	 0.0290 0.00	0.0228	0.00	0.0229

