3.81	176593	166886	154272	138172	119049	99545	79918	60061	40157	20289	1757	453	-19502	-39414	-59319	-79019	-98636	-118066	-136732	-153001	-165982	-176585
2.54	120853	114187	105589	94387	81394	68059	54638	41101	27548	13930	1281	265	-13279	-26960	-40525	-54059	-67481	-80779	-93488	-104724	-113579	-120838
1.27	62600	59075	52061	46573	39347	35203	28232	21212	14238	6637	589	175	-6941	-14024	-21060	-28071	-35013	-41962	-48558	-54400	-59034	-62823
0	-2221	-2214	-1728	-1663	-1396	-1352	-1049	-854	-476	-280	-65	6	299	571	840	1054	1309	1566	1799	1949	2085	1906
-1.27	-60989	-57762	-53417	-47874	-41216	-34449	-27599	-20808	-13913	-6991	-639	-149	6810	13643	20510	27392	34175	40828	47310	52949	57489	61034
-2.54	-119490	-112949	-104377	-93463	-80555	-67309	-54065	-40661	-27230	-13742	-1261	-353	13209	26648	40040	53466	66747	79821	92419	103546	112295	119478
-3.81	-175342	-165761	-153352	-137132	-118229	-98858	-79218	-59629	-39981	-20276	-1731	-438	19279	39063	58823	78518	97972	117145	135608	151913	164835	175236
