17307,"2019-08-10 19:21:01",good,pol,""
17308,"2019-08-10 19:24:03",good,pol,""
17309,"2019-08-10 19:26:16",good,pol,""
17310,"2019-08-10 19:29:29",good,pol,""
17311,"2019-08-10 19:31:36",good,pol,""
17312,"2019-08-10 19:34:38",good,pol,""
17313,"2019-08-10 19:36:48",good,pol,""
17314,"2019-08-10 19:38:59",good,pol,""
17315,"2019-08-10 19:41:10",good,pol,""
17316,"2019-08-10 19:43:19",good,pol,""
17317,"2019-08-10 19:45:32",good,pol,""
17318,"2019-08-10 19:47:42",good,pol,""
17319,"2019-08-10 19:49:58",good,pol,""
17320,"2019-08-10 19:52:30",good,pol,""
17321,"2019-08-10 19:54:37",good,pol,""
17322,"2019-08-10 19:56:46",good,pol,""
17323,"2019-08-10 19:58:52",good,pol,""
17324,"2019-08-10 20:01:14",good,pol,""
17325,"2019-08-10 20:03:20",good,pol,""
17326,"2019-08-10 20:05:29",good,pol,""
17327,"2019-08-10 20:07:37",good,pol,""
17328,"2019-08-10 20:09:45",good,pol,""
17453,"2019-08-18 13:18:17",good,pol,""
17454,"2019-08-18 13:21:20",good,pol,""
17455,"2019-08-18 13:25:19",good,pol,""
17456,"2019-08-18 13:29:32",good,pol,""
17457,"2019-08-18 13:32:18",good,pol,""
17458,"2019-08-18 13:34:28",good,pol,""
17459,"2019-08-18 13:37:22",good,pol,""
17460,"2019-08-18 13:39:33",good,pol,""
17463,"2019-08-18 14:04:14",good,pol,""
17464,"2019-08-18 14:06:22",good,pol,""
17465,"2019-08-18 14:10:16",good,pol,""
17466,"2019-08-18 14:14:06",good,pol,""
17467,"2019-08-18 14:17:09",good,pol,""
17468,"2019-08-18 14:19:29",good,pol,""
17469,"2019-08-18 14:21:39",good,pol,""
17470,"2019-08-18 14:24:15",good,pol,""
17471,"2019-08-18 14:26:25",good,pol,""
17472,"2019-08-18 14:28:56",good,pol,""
17473,"2019-08-18 14:31:02",good,pol,""
17474,"2019-08-18 14:33:24",good,pol,""
17475,"2019-08-18 14:35:40",good,pol,""
17476,"2019-08-18 14:38:11",good,pol,""
17477,"2019-08-18 14:40:21",good,pol,""
17478,"2019-08-18 14:44:18",good,pol,""
17479,"2019-08-18 14:46:43",good,pol,""
17480,"2019-08-18 14:49:32",good,pol,""
17491,"2019-08-18 15:15:26",good,pol,""
17492,"2019-08-18 15:17:36",good,pol,""
17493,"2019-08-18 15:19:45",good,pol,""
17495,"2019-08-18 15:24:13",good,pol,""
17496,"2019-08-18 15:26:20",good,pol,""
17497,"2019-08-18 15:28:27",good,pol,""
17521,"2019-08-21 11:26:43",good,pol,""
17522,"2019-08-21 11:28:56",good,pol,""
17523,"2019-08-21 11:31:10",good,pol,""
17524,"2019-08-21 11:33:48",good,pol,""
17525,"2019-08-21 11:35:59",good,pol,""
17526,"2019-08-21 11:38:13",good,pol,""
17527,"2019-08-21 11:40:50",good,pol,""
17528,"2019-08-21 11:43:02",good,pol,""
17529,"2019-08-21 11:45:12",good,pol,""
17530,"2019-08-21 11:47:23",good,pol,""
17531,"2019-08-21 11:49:33",good,pol,""
17532,"2019-08-21 11:51:42",good,pol,""
17533,"2019-08-21 11:53:54",good,pol,""
17534,"2019-08-21 11:56:07",good,pol,""
17535,"2019-08-21 11:58:16",good,pol,""
17536,"2019-08-21 12:00:28",good,pol,""
17537,"2019-08-21 12:02:38",good,pol,""
17538,"2019-08-21 12:04:49",good,pol,""
17539,"2019-08-21 12:07:12",good,pol,""
17540,"2019-08-21 12:09:33",good,pol,""
17541,"2019-08-21 12:11:47",good,pol,""
17542,"2019-08-21 12:14:01",good,pol,""
17543,"2019-08-21 12:16:48",good,pol,""
17545,"2019-08-21 12:35:37",good,pol,""
17546,"2019-08-21 12:37:50",good,pol,""
17547,"2019-08-21 12:40:27",good,pol,""
17548,"2019-08-21 12:42:38",good,pol,""
17549,"2019-08-21 12:44:48",good,pol,""
17550,"2019-08-21 12:47:36",good,pol,""
17551,"2019-08-21 12:51:27",good,pol,""
17552,"2019-08-21 12:54:24",good,pol,""
17553,"2019-08-21 12:56:44",good,pol,""
17554,"2019-08-21 12:59:18",good,pol,""
17555,"2019-08-21 13:01:43",good,pol,""
17556,"2019-08-21 13:03:57",good,pol,""
17557,"2019-08-21 13:06:18",good,pol,""
17558,"2019-08-21 13:09:02",good,pol,""
17559,"2019-08-21 13:12:17",good,pol,""
17560,"2019-08-21 13:14:34",good,pol,""
17561,"2019-08-21 13:17:06",good,pol,""
17562,"2019-08-21 13:19:42",good,pol,""
17563,"2019-08-21 13:32:20",good,pol,""
17564,"2019-08-21 13:34:34",good,pol,""
17565,"2019-08-21 13:36:43",good,pol,""
17566,"2019-08-21 13:39:00",good,pol,""
17567,"2019-08-21 13:41:51",good,pol,""
17568,"2019-08-21 13:44:23",good,pol,""
17569,"2019-08-21 13:46:36",good,pol,""
17570,"2019-08-21 13:48:59",good,pol,""
17571,"2019-08-21 13:54:21",good,pol,""
17629,"2019-08-26 14:32:35",good,pol,""
17630,"2019-08-26 14:35:23",good,pol,""
17631,"2019-08-26 14:37:39",good,pol,""
17632,"2019-08-26 14:41:24",good,pol,""
17633,"2019-08-26 14:43:47",good,pol,""
17634,"2019-08-26 14:46:26",good,pol,""
17635,"2019-08-26 14:48:40",good,pol,""
17636,"2019-08-26 14:50:55",good,pol,""
17637,"2019-08-26 14:53:50",good,pol,""
17638,"2019-08-26 14:56:05",good,pol,""
17639,"2019-08-26 14:58:19",good,pol,""
17640,"2019-08-26 15:01:44",good,pol,""
17641,"2019-08-26 15:03:54",good,pol,""
17642,"2019-08-26 15:06:04",good,pol,""
17643,"2019-08-26 15:08:14",good,pol,""
17644,"2019-08-26 15:13:09",good,pol,""
17645,"2019-08-26 15:17:23",good,pol,""
17646,"2019-08-26 15:19:41",good,pol,""
17647,"2019-08-26 15:22:00",good,pol,""
17648,"2019-08-26 15:24:14",good,pol,""
