Npass Q1(A)  Q2(A)  Q3(A)  Q4(A)
1    +55.00 +1.000 +1.000 -0.000
1    +100.0 +23.57 +0.000 +41.37
2    -41.08 +97.33 +42.10 +41.37
3    -183.3 +60.50 +84.40 +93.39
4    -183.3 -50.0 +0.0 +290.0
4    -183.3 -223.7 +186.0 +187.4
5    -295.0 -295.0 +180.4 +290.2

